,country,date,count,adjusted_count,RATE_7_day_avg,source,population,F0,F1,RATE,std_error,ci_above,ci_below,jhu_past_100,category,num_sites,country_source
1130,Italy,2020-07-15,0.0,0.0,0.016751491030338017,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.016751491030338017,0.016751491030338017,True,4CE: All minus Severe,1.0,Italy_4CE
1131,Italy,2020-07-16,0.0,0.0,0.016751491030338017,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.016751491030338017,0.016751491030338017,True,4CE: All minus Severe,1.0,Italy_4CE
1132,Italy,2020-07-17,1.0,70.70499017726824,0.016751491030338017,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.24658194796656419,-0.21307896590588815,True,4CE: All minus Severe,1.0,Italy_4CE
1133,Italy,2020-07-18,0.0,0.0,0.0335029820606752,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.0335029820606752,0.0335029820606752,True,4CE: All minus Severe,1.0,Italy_4CE
1134,Italy,2020-07-19,0.0,0.0,0.0335029820606752,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.0335029820606752,0.0335029820606752,True,4CE: All minus Severe,1.0,Italy_4CE
1135,Italy,2020-07-20,0.0,0.0,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.050254473091012386,0.050254473091012386,True,4CE: All minus Severe,1.0,Italy_4CE
1136,Italy,2020-07-21,1.0,70.70499017726824,0.0335029820606752,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.26333343899690137,-0.19632747487555097,True,4CE: All minus Severe,1.0,Italy_4CE
1137,Italy,2020-07-22,0.0,0.0,0.0335029820606752,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.0335029820606752,0.0335029820606752,True,4CE: All minus Severe,1.0,Italy_4CE
1138,Italy,2020-07-23,1.0,70.70499017726824,0.0335029820606752,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.26333343899690137,-0.19632747487555097,True,4CE: All minus Severe,1.0,Italy_4CE
1139,Italy,2020-07-24,0.0,0.0,0.0335029820606752,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.0335029820606752,0.0335029820606752,True,4CE: All minus Severe,1.0,Italy_4CE
1140,Italy,2020-07-25,0.0,0.0,0.016751491030338017,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.016751491030338017,0.016751491030338017,True,4CE: All minus Severe,1.0,Italy_4CE
1141,Italy,2020-07-26,0.0,0.0,0.016751491030338017,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.016751491030338017,0.016751491030338017,True,4CE: All minus Severe,1.0,Italy_4CE
