,country,date,num_sites,cumulative_count,count,date_str,N0,n1,n2,percent_increase,R,C,standard_error,95_CI_below,95_CI_above,category,jhu_past_100
588,USA,2020-07-21,8.0,9233.0,26.0,2020-07-21,9207.0,26.0,24.0,0.28239383078092756,0.28239383078092756,-0.7176061692190725,0.015089171101835613,-0.9583686241509237,-0.4768437142872213,All,False
589,USA,2020-07-22,8.0,9251.0,18.0,2020-07-22,9233.0,18.0,26.0,0.19495288638579011,0.19495288638579011,-0.8050471136142099,0.008959981319074651,-0.9905751822058846,-0.6195190450225352,All,False
590,USA,2020-07-23,8.0,9262.0,11.0,2020-07-23,9251.0,11.0,18.0,0.11890606420927466,0.11890606420927466,-0.8810939357907254,0.007391373128611933,-1.0496012027286103,-0.7125866688528405,All,False
591,USA,2020-07-24,8.0,9302.0,40.0,2020-07-24,9262.0,40.0,11.0,0.4318721658389117,0.4318721658389117,-0.5681278341610883,0.056216884860482194,-1.0328457968868994,-0.10340987143527713,All,False
592,USA,2020-07-25,8.0,9318.0,16.0,2020-07-25,9302.0,16.0,40.0,0.17200602021070738,0.17200602021070738,-0.8279939797892926,0.005039802279985841,-0.9671374468971435,-0.6888505126814416,All,False
593,USA,2020-07-26,8.0,9321.0,3.0,2020-07-26,9318.0,3.0,16.0,0.03219575016097875,0.03219575016097875,-0.9678042498390212,0.0020770197805879322,-1.0571299414910125,-0.8784785581870301,All,False
594,USA,2020-07-27,8.0,9347.0,26.0,2020-07-27,9321.0,26.0,3.0,0.2789400278940028,0.2789400278940028,-0.7210599721059971,0.11891585568516995,-1.396949867873162,-0.0451700763388323,All,True
595,USA,2020-07-28,8.0,9380.0,33.0,2020-07-28,9347.0,33.0,26.0,0.3530544559751792,0.3530544559751792,-0.6469455440248209,0.018373150186888808,-0.9126188278866951,-0.3812722601629465,All,False
596,USA,2020-07-29,8.0,9394.0,14.0,2020-07-29,9380.0,14.0,33.0,0.1492537313432836,0.1492537313432836,-0.8507462686567164,0.005197891141308384,-0.992055216032494,-0.7094373212809388,All,False
597,USA,2020-07-30,8.0,9412.0,18.0,2020-07-30,9394.0,18.0,14.0,0.1916116670215031,0.1916116670215031,-0.8083883329784969,0.016309049854304463,-1.0586938381522666,-0.5580828278047273,All,False
598,USA,2020-07-31,8.0,9454.0,42.0,2020-07-31,9412.0,42.0,18.0,0.4462388440288993,0.4462388440288993,-0.5537611559711006,0.03585377499717487,-0.9248889803512553,-0.18263333159094597,All,False
599,USA,2020-08-01,7.0,9446.0,0.0,2020-08-01,9454.0,0.0,42.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,All,False
600,France,2020-04-04,2.0,4240.0,159.0,2020-04-04,,159.0,,,,,,,,Severe,False
601,France,2020-04-05,2.0,4362.0,122.0,2020-04-05,4240.0,122.0,159.0,2.8773584905660377,2.8773584905660377,1.8773584905660377,0.07016698348300945,1.3581730865451531,2.396543894586922,Severe,False
602,France,2020-04-06,2.0,4542.0,180.0,2020-04-06,4362.0,180.0,122.0,4.126547455295736,4.126547455295736,3.1265474552957357,0.17340115865658562,2.3103747461862367,3.9427201644052348,Severe,True
603,France,2020-04-07,2.0,4681.0,139.0,2020-04-07,4542.0,139.0,180.0,3.0603258476442097,3.0603258476442097,2.0603258476442097,0.06903288967446367,1.545353276555788,2.5752984187326313,Severe,False
604,France,2020-04-08,2.0,4807.0,126.0,2020-04-08,4681.0,126.0,139.0,2.6917325357829527,2.6917325357829527,1.6917325357829527,0.07149033510773725,1.1676740740156768,2.2157909975502283,Severe,False
605,France,2020-04-09,2.0,4923.0,116.0,2020-04-09,4807.0,116.0,126.0,2.4131474932390264,2.4131474932390264,1.4131474932390264,0.06536847870924464,0.9120291960182662,1.9142657904597868,Severe,False
606,France,2020-04-10,2.0,5050.0,127.0,2020-04-10,4923.0,127.0,116.0,2.5797278082470037,2.5797278082470037,1.5797278082470037,0.0796096842490508,1.0267101204546931,2.1327454960393144,Severe,False
607,France,2020-04-11,2.0,5116.0,66.0,2020-04-11,5050.0,66.0,127.0,1.306930693069307,1.306930693069307,0.306930693069307,0.023740145902015165,0.004937076419581354,0.6089243097190327,Severe,False
608,France,2020-04-12,2.0,5198.0,82.0,2020-04-12,5116.0,82.0,66.0,1.602814698983581,1.602814698983581,0.602814698983581,0.063209540276688,0.11004115066049519,1.0955882473066667,Severe,False
609,France,2020-04-13,2.0,5253.0,55.0,2020-04-13,5198.0,55.0,82.0,1.058099268949596,1.058099268949596,0.05809926894959605,0.026556991852454456,-0.2613085266665865,0.3775070645657786,Severe,True
610,France,2020-04-14,2.0,5337.0,84.0,2020-04-14,5253.0,84.0,55.0,1.599086236436322,1.599086236436322,0.5990862364363221,0.0755666005090255,0.060294391179294915,1.1378780816933491,Severe,False
611,France,2020-04-15,2.0,5401.0,64.0,2020-04-15,5337.0,64.0,84.0,1.1991755667978266,1.1991755667978266,0.19917556679782655,0.03139520960479423,-0.14811082397753556,0.5464619575731886,Severe,False
612,France,2020-04-16,2.0,5475.0,74.0,2020-04-16,5401.0,74.0,64.0,1.3701166450657287,1.3701166450657287,0.3701166450657287,0.05073962915862339,-0.07138234629865436,0.8116156364301118,Severe,False
613,France,2020-04-17,2.0,5529.0,54.0,2020-04-17,5475.0,54.0,74.0,0.9863013698630136,0.9863013698630136,-0.013698630136986356,0.026474213000765825,-0.33260823592480515,0.30521097565083244,Severe,False
614,France,2020-04-18,2.0,5576.0,47.0,2020-04-18,5529.0,47.0,54.0,0.8500633025863628,0.8500633025863628,-0.14993669741363724,0.02912353557389624,-0.48442283204507425,0.18454943721779976,Severe,False
615,France,2020-04-19,2.0,5614.0,38.0,2020-04-19,5576.0,38.0,47.0,0.6814921090387375,0.6814921090387375,-0.31850789096126253,0.0243813532706554,-0.6245526699145225,-0.012463112008002541,Severe,False
616,France,2020-04-20,2.0,5659.0,45.0,2020-04-20,5614.0,45.0,38.0,0.8015675097969361,0.8015675097969361,-0.19843249020306386,0.038002052172605195,-0.5805171452551611,0.18365216484903335,Severe,True
617,France,2020-04-21,2.0,5684.0,25.0,2020-04-21,5659.0,25.0,45.0,0.4417741650468281,0.4417741650468281,-0.5582258349531719,0.014154190621103336,-0.7914097509723317,-0.32504191893401213,Severe,False
618,France,2020-04-22,2.0,5716.0,32.0,2020-04-22,5684.0,32.0,25.0,0.5629838142153413,0.5629838142153413,-0.43701618578465873,0.035197383571351805,-0.8047311144015223,-0.06930125716779517,Severe,False
619,France,2020-04-23,2.0,5749.0,33.0,2020-04-23,5716.0,33.0,32.0,0.5773268019594122,0.5773268019594122,-0.4226731980405878,0.02845728244437796,-0.753311211944498,-0.0920351841366775,Severe,False
620,France,2020-04-24,2.0,5783.0,34.0,2020-04-24,5749.0,34.0,33.0,0.5914072012523917,0.5914072012523917,-0.40859279874760834,0.02852029330138117,-0.7395966639011529,-0.07758893359406382,Severe,False
621,France,2020-04-25,2.0,5799.0,16.0,2020-04-25,5783.0,16.0,34.0,0.27667300708974585,0.27667300708974585,-0.7233269929102542,0.010388851762994953,-0.9231013980094095,-0.5235525878110988,Severe,False
622,France,2020-04-26,2.0,5816.0,17.0,2020-04-26,5799.0,17.0,16.0,0.29315399206759785,0.29315399206759785,-0.7068460079324022,0.02369332844579794,-1.0085416999092307,-0.4051503159555737,Severe,False
623,France,2020-04-27,2.0,5843.0,27.0,2020-04-27,5816.0,27.0,17.0,0.4642365887207703,0.4642365887207703,-0.5357634112792298,0.03998542347222752,-0.9276919797849068,-0.14383484277355268,Severe,True
624,France,2020-04-28,2.0,5860.0,17.0,2020-04-28,5843.0,17.0,27.0,0.2909464316275886,0.2909464316275886,-0.7090535683724114,0.013910972507570951,-0.9402253486248561,-0.47788178811996673,Severe,False
